"","mu","sd","negsumllk","timewindow"
"1",8.00822775385676,3.83945024559598,332.998185498502,"Jan 01 - Jan 20"
"2",7.20209192351812,3.05081635898083,301.744170396834,"Jan 15 - Jan 21"
"3",6.8904902096863,2.79003576988113,393.660020021892,"Jan 16 - Jan 22"
"4",6.65559219841823,2.92107497631714,520.488828050419,"Jan 17 - Jan 23"
"5",6.25323497627018,2.64193553224996,586.432727792368,"Jan 18 - Jan 24"
"6",6.07430519805208,2.52490446466637,668.540865365358,"Jan 19 - Jan 25"
"7",5.8073925228183,2.58592626348948,681.615288018109,"Jan 20 - Jan 26"
"8",5.48087056669144,2.26928421580291,718.09764174307,"Jan 21 - Jan 27"
"9",5.23205738047328,2.16745871499955,752.512112950255,"Jan 22 - Jan 28"
"10",4.82169788875544,2.39216774454931,761.380315784882,"Jan 23 - Jan 29"
"11",4.68792688078245,2.32597076569338,684.666504773115,"Jan 24 - Jan 30"
"12",4.73322031033352,2.62632960420403,682.529164950059,"Jan 25 - Jan 31"
"13",4.29096842818598,2.49767102962201,584.633231431217,"Jan 26 - Feb 01"
"14",4.12805821961458,2.43165897627983,549.66912926245,"Jan 27 - Feb 02"
"15",4.00076145578838,2.41854453980362,474.259753619625,"Jan 28 - Feb 03"
"16",3.95980116794224,2.54673679652891,416.050618226482,"Jan 29 - Feb 04"
"17",3.7731365297427,2.38429657122532,412.421733157902,"Jan 30 - Feb 29"
