"","mu","sd","samplesize","negsumllk","timewindow"
"1",1.63587276054521,5.54684973537598,145,363.899583309471,"Jan 01 - Jan 26"
"2",1.77253025108248,6.2889041433309,157,413.976719213397,"Jan 21 - Jan 27"
"3",1.80134962896244,6.47972091735735,186,497.10153152524,"Jan 22 - Jan 28"
"4",1.82548003357107,6.58115333803486,220,588.237509243852,"Jan 23 - Jan 29"
"5",1.84317300206062,6.43503100657,247,654.603793016076,"Jan 24 - Jan 30"
"6",1.88027925960438,6.54059984815858,258,687.924624688732,"Jan 25 - Jan 31"
"7",1.93211108619701,6.17756235967681,270,704.850222719509,"Jan 26 - Feb 01"
"8",1.96412327733151,6.01120336200776,268,693.538313968202,"Jan 27 - Feb 02"
"9",1.93940718237105,5.71085888557625,269,684.678246428381,"Jan 28 - Feb 03"
"10",1.92201255185495,5.46719765219617,259,654.056195530895,"Jan 29 - Feb 04"
"11",2.01161811061128,5.15759419801582,234,580.572266393539,"Jan 30 - Feb 05"
"12",1.86617089552682,4.9510873061578,228,570.321533426628,"Jan 31 - Feb 06"
"13",1.6998818608617,4.97495238534225,215,544.578217044234,"Feb 01 - Feb 07"
"14",1.53298072542777,4.88813673479021,183,467.866005572575,"Feb 02 - Feb 08"
"15",1.3917477809035,4.99682122654789,167,437.553142188071,"Feb 03 - Feb 09"
"16",1.34102109702698,4.88513154436337,152,394.523390562813,"Feb 04 - Feb 10"
"17",1.27986000211384,5.4188539371526,157,424.206056655447,"Feb 05 - Feb 29"
