timewindow,mu,muLB,muUB,sd,sdLB,sdUB,negsumllk,AIC,dist
Jan 01 - Jan 20,7.266792572,6.428131278,8.04031508,3.599917986,2.771618315,4.369258211,322.1395985,648.2791971,Gamma
Jan 15 - Jan 21,6.453179355,5.727104962,7.151429112,2.862125935,2.300910789,3.400508484,289.6302847,583.2605695,Gamma
Jan 16 - Jan 22,5.980040037,5.421452382,6.568053993,2.609081846,2.137019462,3.051440573,373.7616035,751.523207,Gamma
Jan 17 - Jan 23,5.634184371,5.101528549,6.216130862,2.64069537,2.161864789,3.162097556,489.2203746,982.4407491,Gamma
Jan 18 - Jan 24,5.549253061,5.033156639,6.033347204,2.417978461,1.946614269,2.872810119,557.4943117,1118.988623,Gamma
Jan 19 - Jan 25,5.521728898,5.062816022,5.998993922,2.31683671,1.87069643,2.841487324,638.7796966,1281.559393,Gamma
Jan 20 - Jan 26,5.383421622,4.958664999,5.850261398,2.229279601,1.687566258,2.779571805,650.6096527,1305.219305,Gamma
Jan 21 - Jan 27,5.024333502,4.632875414,5.444806783,1.979299544,1.491817498,2.50503771,681.2633284,1366.526657,Gamma
Jan 22 - Jan 28,4.758282314,4.387570432,5.151606492,1.799727595,1.375182473,2.251197459,711.0132226,1426.026445,Gamma
Jan 23 - Jan 29,4.626167847,4.19299698,5.06344316,2.227728678,1.678749451,2.757297595,737.2213461,1478.442692,Gamma
Jan 24 - Jan 30,4.519293068,4.126248903,4.935429177,2.150718929,1.688143394,2.602377274,666.1768272,1336.353654,Gamma
Jan 25 - Jan 31,4.51115295,4.002119509,5.026324119,2.493744247,1.85213235,3.070792108,663.2699952,1330.53999,Gamma
Jan 26 - Feb 01,4.298313536,3.773257465,4.855004018,2.415003572,1.853844919,2.978238006,576.8637859,1157.727572,Gamma
Jan 27 - Feb 02,4.374339959,3.780286647,4.964732506,2.564795205,1.942515643,3.164094487,550.9146554,1105.829311,Gamma
Jan 28 - Feb 03,4.486422058,3.867076027,5.150471446,2.698751297,2.008250513,3.294027314,483.3657126,970.7314251,Gamma
Jan 29 - Feb 04,4.7642729,4.049809396,5.44404156,2.96744717,2.300891873,3.61106366,431.2318688,866.4637376,Gamma
Jan 30 - Feb 29,5.373731152,4.578535288,6.144808871,3.28200262,2.546268099,3.938431976,441.1664121,886.3328242,Gamma
Jan 01 - Jan 20,7.276743873,6.454406915,8.040784764,3.572340751,2.723847573,4.316504702,323.4542795,650.9085589,Weibull
Jan 15 - Jan 21,6.476709385,5.755496476,7.149517118,2.755674125,2.308105609,3.224241837,289.6326196,583.2652392,Weibull
Jan 16 - Jan 22,6.012133154,5.463030682,6.596821157,2.560176753,2.170978487,2.930780693,374.1785151,752.3570302,Weibull
Jan 17 - Jan 23,5.649515617,5.128223109,6.232297021,2.582515364,2.189873047,3.029550731,491.0578911,986.1157823,Weibull
Jan 18 - Jan 24,5.579078912,5.07427346,6.054647377,2.414469604,1.98264851,2.76827219,559.4462044,1122.892409,Weibull
Jan 19 - Jan 25,5.530171195,5.082134238,5.98141753,2.277196021,1.896327804,2.669913803,641.2447811,1286.489562,Weibull
Jan 20 - Jan 26,5.413868029,4.988408537,5.875268117,2.266475877,1.767784787,2.704774063,654.2407947,1312.481589,Weibull
Jan 21 - Jan 27,5.051335764,4.658462522,5.451371538,2.030981901,1.494908269,2.499117863,684.8360522,1373.672104,Weibull
Jan 22 - Jan 28,4.781813333,4.415313294,5.165050479,1.845377729,1.433010164,2.214207466,713.5429504,1431.085901,Weibull
Jan 23 - Jan 29,4.644025388,4.214467266,5.076574076,2.097793798,1.546959888,2.632983821,739.4369455,1482.873891,Weibull
Jan 24 - Jan 30,4.556871395,4.160583872,4.955091921,2.002269335,1.532875529,2.431813128,666.803979,1337.607958,Weibull
Jan 25 - Jan 31,4.536714667,4.04610766,5.046838872,2.395449637,1.694827322,3.111479633,667.077282,1338.154564,Weibull
Jan 26 - Feb 01,4.367269283,3.772140498,4.910400309,2.332194503,1.667719755,2.89659937,579.2617572,1162.523514,Weibull
Jan 27 - Feb 02,4.457907868,3.858303378,5.030705616,2.51206835,1.790588081,3.190295544,553.5068356,1111.013671,Weibull
Jan 28 - Feb 03,4.554242379,3.899378242,5.229887787,2.59511024,1.795232434,3.279854518,485.4221282,974.8442564,Weibull
Jan 29 - Feb 04,4.857226782,4.148330613,5.517252565,2.878891588,2.170827624,3.595908638,432.6909161,869.3818321,Weibull
Jan 30 - Feb 29,5.490543446,4.696458559,6.24214575,3.222907887,2.435157258,3.952338115,442.4001422,888.8002845,Weibull
Jan 01 - Jan 20,7.268512397,6.424299539,8.068131492,3.813725565,2.836507509,4.796675505,322.0802328,648.1604657,Log-Normal
Jan 15 - Jan 21,6.456927018,5.722591966,7.165140754,3.012706747,2.359070107,3.697972946,290.300335,584.60067,Log-Normal
Jan 16 - Jan 22,5.975652474,5.416638971,6.572543416,2.723442176,2.190008958,3.260753956,374.2984653,752.5969305,Log-Normal
Jan 17 - Jan 23,5.642746527,5.104623436,6.231191515,2.821207581,2.254950818,3.500616003,488.8111892,981.6223785,Log-Normal
Jan 18 - Jan 24,5.550417422,5.025265341,6.068111405,2.535658268,1.979716844,3.08501583,557.1605223,1118.321045,Log-Normal
Jan 19 - Jan 25,5.545895911,5.076195049,6.025301387,2.500547583,1.928241579,3.163617216,637.6611884,1279.322377,Log-Normal
Jan 20 - Jan 26,5.379393286,4.942243538,5.869221356,2.350049509,1.708914955,3.026367009,649.0933798,1302.18676,Log-Normal
Jan 21 - Jan 27,5.025107083,4.616906621,5.459310813,2.075699569,1.503241246,2.751509034,679.9229814,1363.845963,Log-Normal
Jan 22 - Jan 28,4.758905058,4.391027152,5.157102174,1.8410912,1.379320364,2.492530657,710.345215,1424.69043,Log-Normal
Jan 23 - Jan 29,4.629841338,4.197824279,5.072284711,2.512845081,1.756857811,3.13775062,737.20087,1478.40174,Log-Normal
Jan 24 - Jan 30,4.50900317,4.100703993,4.934726057,2.424617249,1.80090954,3.035761204,667.5497205,1339.099441,Log-Normal
Jan 25 - Jan 31,4.463210273,3.959634072,4.973375745,2.813545254,2.077522442,3.468593383,661.3764789,1326.752958,Log-Normal
Jan 26 - Feb 01,4.212013151,3.698523509,4.744321452,2.73008984,2.064114753,3.404277493,575.7645529,1155.529106,Log-Normal
Jan 27 - Feb 02,4.257792499,3.683729254,4.867924052,2.898582885,2.125762313,3.621916446,549.5981431,1103.196286,Log-Normal
Jan 28 - Feb 03,4.361507794,3.766211882,5.037346945,3.098614177,2.275456422,3.841982003,482.2790213,968.5580426,Log-Normal
Jan 29 - Feb 04,4.606586196,3.918204141,5.327846501,3.41205751,2.539458219,4.28265708,430.8986222,865.7972445,Log-Normal
Jan 30 - Feb 29,5.198918615,4.387270132,6.020603776,3.647062098,2.715923878,4.511949513,441.2430314,886.4860628,Log-Normal
