main,mean rho est,,MEAN RHO 0.25,,MEAN RHO 0.5,,MEAN RHO 0.75,,sd main,sd rho 0.25,,SD RHO 0.75,
7.268512397,8.043847754,0.775335357,8.075923515,0.81,8.03427643,0.765764033,8.089598356,0.82,3.813725565,4.16010865,0.35,5.946475668,2.13
6.456927018,7.166810518,0.7098835,7.283862177,0.83,7.158964907,0.702037889,7.01175621,0.55,3.012706747,3.314609764,0.30,4.403957814,1.39
5.975652474,6.565652618,0.590000144,6.774746736,0.80,6.560276534,0.58462406,6.259211155,0.28,2.723442176,2.985341122,0.26,3.729992952,1.01
5.642746527,6.073601029,0.430854502,6.348783389,0.71,6.081308774,0.438562247,5.703019618,0.06,2.821207581,2.973810723,0.15,3.416900336,0.60
5.550417422,6.087530606,0.537113184,6.334179754,0.78,6.091984244,0.541566822,5.734482444,0.18,2.535658268,2.895298045,0.36,3.438851274,0.90
5.545895911,6.454030386,0.908134475,6.653434002,1.11,6.475045014,0.929149103,6.198413882,0.65,2.500547583,2.955968873,0.46,3.640215111,1.14
5.379393286,6.188935455,0.809542169,6.382801336,1.00,6.178704824,0.799311538,5.859211355,0.48,2.350049509,2.753075046,0.40,3.215153712,0.87
5.025107083,5.822189784,0.797082701,5.98999137,0.96,5.765280305,0.740173222,5.40213278,0.38,2.075699569,2.413865706,0.34,2.70543615,0.63
4.758905058,5.613348676,0.854443618,5.784817457,1.03,5.590881583,0.831976525,5.262276152,0.50,1.8410912,2.274796009,0.43,2.529033235,0.69
4.629841338,5.491234399,0.861393061,5.607377983,0.98,5.401891952,0.772050614,5.059865034,0.43,2.512845081,2.851631205,0.34,3.193548343,0.68
4.50900317,5.489230762,0.980227592,5.540075845,1.03,5.309479893,0.800476723,4.920260897,0.41,2.424617249,2.837048906,0.41,3.083030766,0.66
4.463210273,5.303742924,0.840532651,5.431525825,0.97,5.163863692,0.700653419,4.751484731,0.29,2.813545254,2.995061916,0.18,3.119494037,0.31
4.212013151,5.115818955,0.903805804,5.279955353,1.07,5.019520911,0.80750776,4.617979152,0.41,2.73008984,3.072929204,0.34,3.374566114,0.64
4.257792499,5.211971479,0.95417898,5.397994475,1.14,5.186649726,0.928857227,4.884343334,0.63,2.898582885,3.228787903,0.33,3.875303409,0.98
4.361507794,5.398501477,1.036993683,5.64359048,1.28,5.462634569,1.101126775,5.215801627,0.85,3.098614177,3.453139109,0.35,4.175149756,1.08
4.606586196,5.31984437,0.713258174,5.62103311,1.01,5.413578197,0.806992001,5.156828152,0.55,3.41205751,3.594495831,0.18,4.333900497,0.92
5.198918615,6.35675228,1.157833665,6.639793623,1.44,6.413365702,1.214447087,6.139396989,0.94,3.647062098,3.62431053,-0.02,4.608984593,0.96
