,empmean,empsd,emprho,empsamplesize.ave,muCIrecover,n_sim,estmu,biasmu,widthmu,sdCIrecover,estsd,biassd,widthsd,rhoCIrecover,estrho,biasrho,widthrho
1,6.745743057,3.510508908,0.014317594,28.892,32,36,7.737323339,0.146993485,3.076210297,35,4.469733111,0.273243632,4.297016892,29,-0.396331938,-28.68146284,1.076947137
2,6.653539768,3.47531047,0.02037741,54.282,22,36,7.51600114,0.129624441,2.402206827,33,4.006885302,0.152957509,3.460280385,23,-0.354079116,-18.3760607,0.797922917
3,6.463608469,3.355176295,0.023453573,95.478,20,36,7.205311841,0.114750665,1.56509957,35,3.633559794,0.082971348,1.890320386,22,-0.283162894,-13.073337,0.571551393
4,6.267336423,3.229061184,0.032265547,141.353,10,36,7.082359677,0.130043004,1.235440293,35,3.46172442,0.072052904,1.465204204,10,-0.299293222,-10.27593824,0.473303509
5,6.108254929,3.181654234,0.025416497,169.155,7,36,6.863650848,0.123668041,1.060635465,32,3.205025953,0.007345776,1.214714042,13,-0.272589881,-11.72491921,0.435034106
6,6.080425303,3.246805717,0.008788144,156.23,10,36,6.805600433,0.119263883,1.134557114,33,3.29533581,0.014947027,1.324792729,9,-0.301539295,-35.31205848,0.434587023
7,6.477464827,3.381178297,0.192679418,28.989,25,33,6.892090229,0.064010444,2.4531007,30,3.521517042,0.04150587,3.344973719,22,-0.209843762,-2.089082393,1.049873175
8,6.42277484,3.375469924,0.215587396,54.811,24,33,7.038961397,0.095937748,1.842899625,32,3.44498889,0.020595345,2.30916858,22,-0.108486927,-1.503215535,0.771953428
9,6.268333857,3.264347302,0.22037572,96.542,17,33,6.926205495,0.104951595,1.341556567,32,3.176691542,-0.026852462,1.5483952,18,-0.099169449,-1.450001703,0.622731357
10,6.13181914,3.17216466,0.230793501,142.89,11,33,6.790512287,0.107422142,1.06876509,28,2.994949558,-0.055865669,1.193564371,7,-0.115060799,-1.498544365,0.511630784
11,6.054892249,3.148332658,0.226027134,170.931,10,33,6.731823191,0.111799007,0.993674839,26,3.049795999,-0.031298046,1.131293877,7,-0.095399447,-1.422070775,0.451401677
12,6.123510418,3.229875646,0.210200568,155.715,10,33,6.745691467,0.10160529,1.043016615,28,3.066603867,-0.050550484,1.187493859,21,-0.01679127,-1.079882134,0.453839265
13,6.17244791,3.114256686,0.38415054,29.075,31,42,6.725165501,0.08954593,2.317656199,39,3.30279767,0.060541247,3.33545304,33,0.150859914,-0.607289595,1.118459958
14,6.171392404,3.201654575,0.424883206,55.409,25,42,6.617684088,0.072316206,1.618580616,33,2.81713083,-0.120101571,1.934856103,24,0.001811884,-0.995735572,0.874051221
15,6.063462796,3.143519041,0.435868902,97.787,22,42,6.649638257,0.096673383,1.203150541,30,2.802523839,-0.108475628,1.411386358,18,0.09970343,-0.771253629,0.607628548
16,5.996861141,3.082398096,0.445389973,144.931,13,42,6.615603556,0.103177713,0.969689756,28,2.758192759,-0.10517958,1.128768189,15,0.124461443,-0.720556253,0.502050772
17,6.016200517,3.113012803,0.444061465,172.553,17,42,6.525646239,0.08467898,0.855004609,24,2.680359299,-0.138982244,0.995639201,17,0.186154144,-0.580791943,0.436663676
18,6.187731465,3.208283249,0.436164619,155.207,19,42,6.652957545,0.075185241,0.929098873,26,2.833286841,-0.116883822,1.08046007,16,0.191586541,-0.560747175,0.433503694
19,5.843545345,2.722489744,0.616334276,29.474,27,42,6.304635187,0.078905838,1.754324671,35,2.600670275,-0.044745612,2.671353811,32,0.342432951,-0.444403849,1.024483172
20,5.931647667,2.981638887,0.669468564,55.257,27,42,6.442646431,0.086147862,1.199104587,25,2.44235887,-0.180866979,1.637695685,24,0.32157073,-0.519662688,0.712879173
21,5.875892687,2.988021405,0.682759327,99.139,25,42,6.223148725,0.059098431,0.920320051,21,2.415591693,-0.191574837,1.252348341,23,0.441848422,-0.35284894,0.502793357
22,5.879382465,2.984522002,0.691651057,146.897,22,42,6.307328255,0.072787541,0.729116393,21,2.474360579,-0.170935722,1.007364329,24,0.5345813,-0.22709393,0.349277903
23,5.981122622,3.033733017,0.689322168,174.176,20,42,6.295006267,0.052479052,0.685417317,15,2.506144546,-0.173907351,0.927159869,22,0.535941298,-0.222509701,0.306856974
24,6.264823282,3.183848273,0.688725743,154.675,23,42,6.564611911,0.047852687,0.754525496,21,2.625125893,-0.175486497,1.011307726,17,0.531782057,-0.227875447,0.314107645
