,corres.GTIPfor,samplesize.GTIPfor,meanGTfor,sdGTfor,meanIPfor,sdIPfor,corres.GTIPback,samplesize.GTIPback,meanGTforonset,sdGTforonset,meanIPback,sdIPback,rho_simset
1,0.00,62,6.62,3.45,6.44,3.21,0.01,29,6.75,3.51,5.17,1.91,0
2,0.00,106,6.46,3.36,6.46,3.30,0.02,54,6.65,3.48,5.34,2.34,0
3,0.00,157,6.23,3.19,6.45,3.40,0.02,95,6.46,3.36,5.47,2.50,0
4,0.00,181,6.07,3.18,6.47,3.40,0.03,141,6.27,3.23,5.69,2.64,0
5,0.00,153,6.06,3.25,6.45,3.38,0.03,169,6.11,3.18,6.07,2.85,0
6,0.00,96,6.16,3.40,6.45,3.37,0.01,156,6.08,3.25,6.65,3.14,0
7,0.21,61,6.64,3.47,6.38,3.18,0.19,29,6.48,3.38,5.17,1.91,0.25
8,0.21,106,6.46,3.33,6.37,3.26,0.22,55,6.42,3.38,5.31,2.34,0.25
9,0.21,157,6.23,3.20,6.30,3.30,0.22,97,6.27,3.26,5.43,2.50,0.25
10,0.21,180,6.08,3.17,6.30,3.30,0.23,143,6.13,3.17,5.61,2.62,0.25
11,0.21,154,6.04,3.22,6.25,3.27,0.23,171,6.05,3.15,5.96,2.82,0.25
12,0.22,96,6.14,3.38,6.27,3.29,0.21,156,6.12,3.23,6.49,3.10,0.25
13,0.44,61,6.61,3.42,6.32,3.12,0.38,29,6.17,3.11,5.17,1.91,0.5
14,0.44,106,6.46,3.33,6.26,3.18,0.42,55,6.17,3.20,5.31,2.33,0.5
15,0.44,156,6.24,3.20,6.16,3.18,0.44,98,6.06,3.14,5.38,2.49,0.5
16,0.44,180,6.09,3.17,6.11,3.15,0.45,145,6.00,3.08,5.53,2.59,0.5
17,0.45,153,6.05,3.24,6.06,3.14,0.44,173,6.02,3.11,5.85,2.78,0.5
18,0.46,96,6.15,3.39,6.09,3.16,0.44,155,6.19,3.21,6.32,3.03,0.5
19,0.69,61,6.63,3.40,6.27,3.05,0.62,29,5.84,2.72,5.18,1.90,0.75
20,0.69,105,6.46,3.30,6.15,3.03,0.67,55,5.93,2.98,5.31,2.33,0.75
21,0.70,156,6.23,3.20,5.99,3.01,0.68,99,5.88,2.99,5.35,2.46,0.75
22,0.70,180,6.10,3.17,5.91,2.98,0.69,147,5.88,2.98,5.46,2.55,0.75
23,0.71,154,6.04,3.21,5.85,2.98,0.69,174,5.98,3.03,5.72,2.70,0.75
24,0.71,97,6.15,3.36,5.91,3.05,0.69,155,6.26,3.18,6.14,2.93,0.75
