,empmean,empsd,emprho,empsamplesize.ave,timewindow,muCIrecover,estmu,biasmu,widthmu,sdCIrecover,estsd,biassd,widthsd,rhoCIrecover,estrho,biasrho,widthrho,rho_simset
1,6.745743057,3.510508908,0.014317594,28.892,D5 - D10,43/50,7.294259408,0.081312962,4.666209791,46/50,4.966497688,0.414751484,22.5547625,41/50,-0.230187925,-17.07727736,0.974872156,0
2,6.653539768,3.47531047,0.02037741,54.282,D10 - D15,45/50,7.033195425,0.057060703,1.869035248,47/50,3.425292885,-0.014392264,2.220386898,36/50,-0.17774527,-9.722662427,0.678761464,0
3,6.463608469,3.355176295,0.023453573,95.478,D15 - D20,44/50,6.783855069,0.049546101,1.357149093,46/50,3.235948801,-0.035535389,1.540504473,38/50,-0.143858309,-7.133748013,0.524822464,0
4,6.267336423,3.229061184,0.032265547,141.353,D20 - D25,31/50,6.67955646,0.065772764,1.0533866,46/50,3.08679566,-0.04405786,1.150834758,35/50,-0.113621123,-4.521437978,0.437840425,0
5,6.108254929,3.181654234,0.025416497,169.155,D25 - D30,30/50,6.509578463,0.065701831,0.916428759,39/50,2.961349908,-0.06924207,0.995833349,37/50,-0.111596659,-5.39071747,0.388476672,0
6,6.080425303,3.246805717,0.008788144,156.23,D30 - D35,34/50,6.486762256,0.066827061,0.957745334,43/50,3.002396426,-0.075276845,1.048854115,35/50,-0.141580572,-17.11040735,0.393770447,0
7,6.477464827,3.381178297,0.192679418,28.989,D5 - D10,42/49,6.483946112,0.00100059,2.378776519,42/49,3.188041686,-0.057121096,3.075853803,41/49,0.019926247,-0.896583416,0.98695656,0.25
8,6.42277484,3.375469924,0.215587396,54.811,D10 - D15,46/49,6.563849696,0.021964783,1.590259014,40/49,2.957846135,-0.123723155,1.793955288,39/49,0.041216087,-0.80881959,0.706992946,0.25
9,6.268333857,3.264347302,0.22037572,96.542,D15 - D20,45/49,6.447642662,0.028605497,1.207771585,42/49,2.98730362,-0.084869549,1.365705147,44/49,0.122196552,-0.4455081,0.525208298,0.25
10,6.13181914,3.17216466,0.230793501,142.89,D20 - D25,29/49,6.475261812,0.056009915,0.949737793,38/49,2.898358155,-0.08631535,1.055268889,41/49,0.138585741,-0.39952494,0.424512211,0.25
11,6.054892249,3.148332658,0.226027134,170.931,D25 - D30,34/49,6.402164158,0.057353937,0.866306931,38/49,2.890184614,-0.081995161,0.95869254,39/49,0.130958493,-0.420607204,0.384015708,0.25
12,6.123510418,3.229875646,0.210200568,155.715,D30 - D35,38/49,6.41053215,0.04687209,0.904918529,33/49,2.922054877,-0.095304217,1.006238883,47/49,0.15004237,-0.286194269,0.386613823,0.25
13,6.17244791,3.114256686,0.38415054,29.075,D5 - D10,43/50,6.879132253,0.114490127,6.534322266,40/50,9.006309091,1.891961068,76.53870772,42/50,0.238434785,-0.379319408,0.942654705,0.5
14,6.171392404,3.201654575,0.424883206,55.409,D10 - D15,46/50,6.310515242,0.022543185,1.407018633,38/50,2.82357439,-0.118088999,1.724783943,40/50,0.321511203,-0.243295103,0.632164656,0.5
15,6.063462796,3.143519041,0.435868902,97.787,D15 - D20,42/50,6.271474727,0.034305798,1.054226427,38/50,2.832366692,-0.098982174,1.300656202,46/50,0.378753053,-0.131039056,0.454666884,0.5
16,5.996861141,3.082398096,0.445389973,144.931,D20 - D25,32/50,6.286246775,0.048256184,0.852708677,37/50,2.825931764,-0.083203507,1.050356265,47/50,0.397523783,-0.107470292,0.355510607,0.5
17,6.016200517,3.113012803,0.444061465,172.553,D25 - D30,35/50,6.237739934,0.036823809,0.76059881,35/50,2.797217656,-0.101443575,0.930995451,45/50,0.42073442,-0.052531116,0.302299898,0.5
18,6.187731465,3.208283249,0.436164619,155.207,D30 - D35,39/50,6.387498234,0.032284331,0.824203419,33/50,2.912053832,-0.092332688,1.003784547,45/50,0.414012464,-0.050788518,0.311170345,0.5
19,5.843545345,2.722489744,0.616334276,29.474,D5 - D10,35/50,6.059075906,0.036883527,5.855238233,44/50,3.382935143,0.242588756,27.77688627,43/50,0.625043744,0.014131079,0.696704884,0.75
20,5.931647667,2.981638887,0.669468564,55.257,D10 - D15,39/50,6.002965528,0.01202328,1.074004124,36/50,2.660007485,-0.107870676,1.575997718,43/50,0.65532697,-0.021123611,0.399467535,0.75
21,5.875892687,2.988021405,0.682759327,99.139,D15 - D20,27/50,6.002562211,0.021557494,0.819719688,34/50,2.725817634,-0.087751638,1.205573491,46/50,0.687338091,0.006706263,0.264472119,0.75
22,5.879382465,2.984522002,0.691651057,146.897,D20 - D25,24/50,6.091474565,0.036073873,0.661805624,36/50,2.817285304,-0.056034668,0.962268276,42/50,0.709104134,0.025233933,0.189217546,0.75
23,5.981122622,3.033733017,0.689322168,174.176,D25 - D30,30/50,6.1710321,0.031751477,0.613255438,35/50,2.84385261,-0.062589689,0.872708983,43/50,0.704719937,0.022337552,0.170643114,0.75
24,6.264823282,3.183848273,0.688725743,154.675,D30 - D35,34/50,6.375340049,0.017640843,0.664504341,30/50,2.939658849,-0.076696313,0.943607505,39/50,0.705932696,0.024983751,0.176236156,0.75
