"","alpha","beta","mu","sigma","samplesize","timewindow","muUB","muLB","sigmaUB","sigmaLB"
"1",1.64918432837274,6.02963876322965,5.39198923465527,3.35624224412886,62,"Jan 01 - Jan 20",6.29878817957537,4.49744149268746,4.05093580032817,2.50186785932335
"2",1.64813572019125,6.20850331953947,5.55222041535683,3.45798369671026,62,"Jan 15 - Jan 21",6.578453001196,4.59353198235736,4.17630791999441,2.64248428124668
"3",1.64214321646145,6.28854265502409,5.62545246507353,3.51525600349909,90,"Jan 16 - Jan 22",6.45090868112793,4.87277312394768,4.119331047907,2.8988348085919
"4",1.69120572344073,6.61596224581346,5.90517296464596,3.59237396595963,118,"Jan 17 - Jan 23",6.68104501655852,5.24444710667808,4.05718136463151,3.05755037481532
"5",1.64063909980101,6.45094799932503,5.7711646747496,3.60932615960106,134,"Jan 18 - Jan 24",6.44840063520911,5.11440368774148,4.08913853102525,3.10021539771651
"6",1.75655024783285,7.06243824945421,6.28858866166442,3.69609527899104,147,"Jan 19 - Jan 25",6.93489784334613,5.65047862861342,4.15215830931422,3.24316544858883
"7",1.68873758514082,6.87259335820308,6.13486323318797,3.73706837279315,155,"Jan 20 - Jan 26",6.78085907057301,5.48890567559457,4.16965537521183,3.24141463767054
"8",1.78747641363311,7.18107961695566,6.38824936912892,3.69572903906756,167,"Jan 21 - Jan 27",6.98937242667545,5.71305599355232,4.09858840670287,3.21665968320466
"9",1.79907322857799,7.34038684322063,6.52787174260858,3.75444670882477,173,"Jan 22 - Jan 28",7.18510394627319,5.92903635859461,4.16466362232237,3.3056459077347
"10",1.93546692751397,7.64022238973002,6.77596690773135,3.64815588899699,176,"Jan 23 - Jan 29",7.34064433432427,6.16789165064561,4.01900723752671,3.25987522850327
"11",1.95142685342024,7.56945462901228,6.71178578072056,3.58695324462591,157,"Jan 24 - Jan 30",7.3446231496436,6.0512064395204,3.97100239638259,3.1626409293856
"12",2.11747489519244,7.78815669171414,6.89759221454356,3.42519857248837,145,"Jan 25 - Jan 31",7.51644787957674,6.27521551786724,3.81342490182554,3.03011399888121
"13",1.98426646099965,7.54266906122184,6.68553256973564,3.51961729415183,123,"Jan 26 - Feb 01",7.43593222042429,5.98098203095969,3.92945806194829,3.05972187141533
"14",2.2215904613803,7.9902064219549,7.0766070570686,3.36595173611783,110,"Jan 27 - Feb 02",7.83315416435242,6.34627423164829,3.76658490931374,2.90966153923539
"15",2.2045364878425,8.13639274694545,7.20584031951628,3.45118971713882,87,"Jan 28 - Feb 03",8.09796363957322,6.35970256239543,3.8751664781757,2.89051645477521
"16",2.33481534766365,8.05122355959995,7.13406293181578,3.24542012612498,76,"Jan 29 - Feb 04",8.04646373425587,6.17258807331387,3.72354121096007,2.59894987996612
"17",2.32179899733012,7.98670721391701,7.07635975720368,3.23533323946647,70,"Jan 30 - Feb 29",8.1901313079075,6.06857536392176,3.77637283847847,2.11272358135326
