,mu,sd,samplesize,negsumllk,timewindow,muLB.boot,muUB.boot,sdLB.boot,sdUB.boot,AIC
1,7.276743873,3.572340751,116,323.4542795,Jan 01 - Jan 20,6.454406915,8.040784764,2.723847573,4.316504702,650.91
2,6.476709385,2.755674125,110,289.6326196,Jan 15 - Jan 21,5.755496476,7.149517118,2.308105609,3.224241837,583.27
3,6.012133154,2.560176753,146,374.1785151,Jan 16 - Jan 22,5.463030682,6.596821157,2.170978487,2.930780693,752.36
4,5.649515617,2.582515364,191,491.0578911,Jan 17 - Jan 23,5.128223109,6.232297021,2.189873047,3.029550731,986.12
5,5.579078912,2.414469604,218,559.4462044,Jan 18 - Jan 24,5.07427346,6.054647377,1.98264851,2.76827219,1122.89
6,5.530171195,2.277196021,248,641.2447811,Jan 19 - Jan 25,5.082134238,5.98141753,1.896327804,2.669913803,1286.49
7,5.413868029,2.266475877,257,654.2407947,Jan 20 - Jan 26,4.988408537,5.875268117,1.767784787,2.704774063,1312.48
8,5.051335764,2.030981901,275,684.8360522,Jan 21 - Jan 27,4.658462522,5.451371538,1.494908269,2.499117863,1373.67
9,4.781813333,1.845377729,291,713.5429504,Jan 22 - Jan 28,4.415313294,5.165050479,1.433010164,2.214207466,1431.09
10,4.644025388,2.097793798,295,739.4369455,Jan 23 - Jan 29,4.214467266,5.076574076,1.546959888,2.632983821,1482.87
11,4.556871395,2.002269335,270,666.803979,Jan 24 - Jan 30,4.160583872,4.955091921,1.532875529,2.431813128,1337.61
12,4.536714667,2.395449637,265,667.077282,Jan 25 - Jan 31,4.04610766,5.046838872,1.694827322,3.111479633,1338.15
13,4.367269283,2.332194503,231,579.2617572,Jan 26 - Feb 01,3.772140498,4.910400309,1.667719755,2.89659937,1162.52
14,4.457907868,2.51206835,218,553.5068356,Jan 27 - Feb 02,3.858303378,5.030705616,1.790588081,3.190295544,1111.01
15,4.554242379,2.59511024,188,485.4221282,Jan 28 - Feb 03,3.899378242,5.229887787,1.795232434,3.279854518,974.84
16,4.857226782,2.878891588,166,432.6909161,Jan 29 - Feb 04,4.148330613,5.517252565,2.170827624,3.595908638,869.38
17,5.490543446,3.222907887,163,442.4001422,Jan 30 - Feb 29,4.696458559,6.24214575,2.435157258,3.952338115,888.80
