"","mu","sd","samplesize","negsumllk","timewindow"
"1",4.89433642844822,3.20958050378814,145,358.159129979547,"Jan 01 - Jan 26"
"2",5.52158249043914,3.42101202060177,157,411.118169169372,"Jan 21 - Jan 27"
"3",5.69290995834359,3.52379618854611,186,494.575549855024,"Jan 22 - Jan 28"
"4",5.77285447770416,3.68069013330924,220,588.476861889983,"Jan 23 - Jan 29"
"5",5.65238732120959,3.60331162413865,247,655.994092080779,"Jan 24 - Jan 30"
"6",5.72337743672528,3.59180238276933,258,689.617848546504,"Jan 25 - Jan 31"
"7",5.37643999014931,3.32620222522886,270,707.905064949609,"Jan 26 - Feb 01"
"8",5.2521849913561,3.30662835232494,268,698.755575901495,"Jan 27 - Feb 02"
"9",4.96228687942613,3.07840640642403,269,686.014968692826,"Jan 28 - Feb 03"
"10",4.7221167220184,2.98463694144004,259,655.586388607966,"Jan 29 - Feb 04"
"11",4.45014607502527,2.63947646914694,234,581.089922859534,"Jan 30 - Feb 05"
"12",4.25515928900094,2.80363270464125,228,568.987352235345,"Jan 31 - Feb 06"
"13",4.25981093115144,3.082532052297,215,540.957197430567,"Feb 01 - Feb 07"
"14",4.20212377777519,3.32555857293017,183,462.959478877106,"Feb 02 - Feb 08"
"15",4.32775051004674,3.80894561144811,167,430.94532121336,"Feb 03 - Feb 09"
"16",4.29077191659208,3.97717342741715,152,388.958115449694,"Feb 04 - Feb 10"
"17",4.82007869726354,4.78614863272208,157,418.84588890166,"Feb 05 - Feb 29"
