"","empSI","timewindow"
"1",1,"Jan 01 - Jan 26"
"2",3,"Jan 01 - Jan 26"
"3",8,"Jan 01 - Jan 26"
"4",4,"Jan 01 - Jan 26"
"5",3,"Jan 01 - Jan 26"
"6",4,"Jan 01 - Jan 26"
"7",2,"Jan 01 - Jan 26"
"8",6,"Jan 01 - Jan 26"
"9",5,"Jan 01 - Jan 26"
"10",-1,"Jan 01 - Jan 26"
"11",6,"Jan 01 - Jan 26"
"12",-3,"Jan 01 - Jan 26"
"13",2,"Jan 01 - Jan 26"
"14",3,"Jan 01 - Jan 26"
"15",2,"Jan 01 - Jan 26"
"16",0,"Jan 01 - Jan 26"
"17",2,"Jan 01 - Jan 26"
"18",14,"Jan 01 - Jan 26"
"19",5,"Jan 01 - Jan 26"
"20",7,"Jan 01 - Jan 26"
"21",17,"Jan 01 - Jan 26"
"22",6,"Jan 01 - Jan 26"
"23",5,"Jan 01 - Jan 26"
"24",3,"Jan 01 - Jan 26"
"25",8,"Jan 01 - Jan 26"
"26",0,"Jan 01 - Jan 26"
"27",1,"Jan 01 - Jan 26"
"28",2,"Jan 01 - Jan 26"
"29",6,"Jan 01 - Jan 26"
"30",-6,"Jan 01 - Jan 26"
"31",4,"Jan 01 - Jan 26"
"32",1,"Jan 01 - Jan 26"
"33",0,"Jan 01 - Jan 26"
"34",3,"Jan 01 - Jan 26"
"35",2,"Jan 01 - Jan 26"
"36",1,"Jan 01 - Jan 26"
"37",-2,"Jan 01 - Jan 26"
"38",3,"Jan 01 - Jan 26"
"39",8,"Jan 01 - Jan 26"
"40",21,"Jan 01 - Jan 26"
"41",6,"Jan 01 - Jan 26"
"42",10,"Jan 01 - Jan 26"
"43",4,"Jan 01 - Jan 26"
"44",2,"Jan 01 - Jan 26"
"45",1,"Jan 01 - Jan 26"
"46",3,"Jan 01 - Jan 26"
"47",7,"Jan 01 - Jan 26"
"48",2,"Jan 01 - Jan 26"
"49",2,"Jan 01 - Jan 26"
"50",0,"Jan 01 - Jan 26"
"51",0,"Jan 01 - Jan 26"
"52",0,"Jan 01 - Jan 26"
"53",3,"Jan 01 - Jan 26"
"54",4,"Jan 01 - Jan 26"
"55",5,"Jan 01 - Jan 26"
"56",3,"Jan 01 - Jan 26"
"57",2,"Jan 01 - Jan 26"
"58",5,"Jan 01 - Jan 26"
"59",0,"Jan 01 - Jan 26"
"60",5,"Jan 01 - Jan 26"
"61",14,"Jan 01 - Jan 26"
"62",14,"Jan 01 - Jan 26"
"63",16,"Jan 01 - Jan 26"
"64",13,"Jan 01 - Jan 26"
"65",10,"Jan 01 - Jan 26"
"66",16,"Jan 01 - Jan 26"
"67",-5,"Jan 01 - Jan 26"
"68",0,"Jan 01 - Jan 26"
"69",3,"Jan 01 - Jan 26"
"70",7,"Jan 01 - Jan 26"
"71",-2,"Jan 01 - Jan 26"
"72",2,"Jan 01 - Jan 26"
"73",1,"Jan 01 - Jan 26"
"74",2,"Jan 01 - Jan 26"
"75",5,"Jan 01 - Jan 26"
"76",8,"Jan 01 - Jan 26"
"77",-3,"Jan 01 - Jan 26"
"78",-1,"Jan 01 - Jan 26"
"79",9,"Jan 01 - Jan 26"
"80",3,"Jan 01 - Jan 26"
"81",4,"Jan 01 - Jan 26"
"82",1,"Jan 01 - Jan 26"
"83",-4,"Jan 01 - Jan 26"
"84",3,"Jan 01 - Jan 26"
