timewindow,mu,muLB,muUB,sd,sdLB,sdUB,AIC,dist
Jan 01 - Jan 20,3.77,3.03,4.43,1.73,1,2.36,67.62,Gamma
Jan 15 - Jan 21,3.89,3.05,4.74,1.85,0.92,2.61,59.79,Gamma
Jan 16 - Jan 22,3.74,2.96,4.57,1.88,1.08,2.48,67.2,Gamma
Jan 17 - Jan 23,3.87,3.22,4.48,1.71,1,2.26,81.17,Gamma
Jan 18 - Jan 24,4.27,3.61,4.94,2.08,1.41,2.64,108.84,Gamma
Jan 19 - Jan 25,4.65,3.92,5.43,2.4,1.6,3.15,136.02,Gamma
Jan 20 - Jan 26,4.98,4.33,5.66,2.18,1.5,2.85,137.69,Gamma
Jan 21 - Jan 27,5.08,4.39,5.81,2.16,1.54,2.8,138.71,Gamma
Jan 22 - Jan 28,5.21,4.51,5.93,2.23,1.65,2.78,156.67,Gamma
Jan 23 - Jan 29,5.97,5.32,6.65,2.53,1.93,3.1,204.72,Gamma
Jan 24 - Jan 30,6.15,5.49,6.99,2.64,2.04,3.2,209.94,Gamma
Jan 25 - Jan 31,6.17,5.39,6.97,2.65,2.02,3.23,182.93,Gamma
Jan 26 - Feb 01,6.61,5.8,7.46,2.87,2.2,3.45,186.67,Gamma
Jan 27 - Feb 02,7.35,6.4,8.27,3.37,2.58,3.99,182.8,Gamma
Jan 28 - Feb 03,8.04,7.01,9.17,3.76,2.86,4.52,182.73,Gamma
Jan 29 - Feb 04,8.59,7.48,9.69,3.46,2.58,4.15,150.96,Gamma
Jan 30 - Feb 29,9.58,8.1,10.98,4.18,3.02,5.21,134.14,Gamma
Jan 01 - Jan 20,3.77,3.09,4.53,1.59,0.96,2.05,65.82,Weibull
Jan 15 - Jan 21,3.9,3.06,4.67,1.65,0.99,2.19,57.62,Weibull
Jan 16 - Jan 22,3.75,3.02,4.54,1.68,1.02,2.18,65,Weibull
Jan 17 - Jan 23,3.89,3.24,4.52,1.54,1.01,1.93,77.98,Weibull
Jan 18 - Jan 24,4.27,3.61,5.02,1.95,1.38,2.41,106.88,Weibull
Jan 19 - Jan 25,4.65,3.89,5.47,2.41,1.62,3.18,136.31,Weibull
Jan 20 - Jan 26,4.97,4.32,5.75,2.31,1.57,2.93,140.37,Weibull
Jan 21 - Jan 27,5.08,4.47,5.85,2.29,1.56,2.88,141.28,Weibull
Jan 22 - Jan 28,5.22,4.59,5.92,2.27,1.62,2.77,158.03,Weibull
Jan 23 - Jan 29,5.98,5.31,6.7,2.62,1.9,3.16,208.07,Weibull
Jan 24 - Jan 30,6.16,5.48,6.88,2.67,1.97,3.23,211.57,Weibull
Jan 25 - Jan 31,6.18,5.44,6.99,2.73,1.97,3.3,185.26,Weibull
Jan 26 - Feb 01,6.63,5.86,7.47,2.83,2.14,3.37,186.85,Weibull
Jan 27 - Feb 02,7.38,6.35,8.36,3.14,2.44,3.65,180.4,Weibull
Jan 28 - Feb 03,8.05,7.01,9.1,3.38,2.73,4,179.83,Weibull
Jan 29 - Feb 04,8.6,7.44,9.67,3.2,2.45,3.77,148.88,Weibull
Jan 30 - Feb 29,9.61,8.14,11.13,3.89,2.7,4.73,132.38,Weibull
Jan 01 - Jan 20,3.81,3.17,4.6,2,0.98,3.2,70.38,Log-Normal
Jan 15 - Jan 21,3.95,3.1,4.8,2.18,0.9,3.54,62.75,Log-Normal
Jan 16 - Jan 22,3.81,2.99,4.6,2.2,1.05,3.47,70.26,Log-Normal
Jan 17 - Jan 23,3.92,3.27,4.51,1.97,0.97,2.9,85.14,Log-Normal
Jan 18 - Jan 24,4.33,3.7,5.04,2.4,1.37,3.54,112.59,Log-Normal
Jan 19 - Jan 25,4.7,3.93,5.49,2.71,1.66,3.9,138.82,Log-Normal
Jan 20 - Jan 26,4.98,4.29,5.71,2.28,1.54,3.07,137.69,Log-Normal
Jan 21 - Jan 27,5.08,4.42,5.71,2.27,1.55,2.99,139.02,Log-Normal
Jan 22 - Jan 28,5.22,4.58,5.89,2.43,1.74,3.11,158.44,Log-Normal
Jan 23 - Jan 29,5.97,5.29,6.64,2.74,2.03,3.42,205.78,Log-Normal
Jan 24 - Jan 30,6.17,5.52,6.82,2.9,2.2,3.57,212.04,Log-Normal
Jan 25 - Jan 31,6.18,5.43,7.03,2.86,2.1,3.66,183.91,Log-Normal
Jan 26 - Feb 01,6.64,5.85,7.47,3.18,2.31,4,189.05,Log-Normal
Jan 27 - Feb 02,7.42,6.36,8.51,3.88,2.82,4.86,186.84,Log-Normal
Jan 28 - Feb 03,8.17,6.97,9.26,4.45,3.07,5.63,187.05,Log-Normal
Jan 29 - Feb 04,8.66,7.41,9.77,3.84,2.78,4.82,153.31,Log-Normal
Jan 30 - Feb 29,9.65,8.1,11.12,4.72,3.15,6.16,136.76,Log-Normal
