"","alpha","beta","mu","sigma","samplesize","timewindow","muUB","muLB","sigmaUB","sigmaLB"
"1",1.93542952318284,3.74407632904314,3.32055131059929,1.78780387133443,87,"Jan 01 - Jan 26",3.79338422166894,2.9183258624007,2.16036430544853,1.34359346831217
"2",2.21043845215631,4.06937848952381,3.60400366514453,1.7219797027687,97,"Jan 21 - Jan 27",4.01290393173689,3.22624191250104,1.99753505007262,1.36129107821353
"3",2.10680695941082,4.41120890960224,3.90689985707663,1.94890399784613,110,"Jan 22 - Jan 28",4.33636529156783,3.53487424706803,2.26142755567959,1.54183035279555
"4",2.28350611230024,5.07874882266537,4.49898856301029,2.0878326819989,131,"Jan 23 - Jan 29",4.92299043126381,4.07452045942805,2.31295667292595,1.79052400450305
"5",2.39690760143091,5.36515084818547,4.7559973282748,2.11332372015067,147,"Jan 24 - Jan 30",5.1825074179574,4.35000601147417,2.32912083089804,1.84450743160872
"6",2.50419519337403,6.05782469683353,5.37511100015253,2.29659877985253,149,"Jan 25 - Jan 31",5.82253806921562,4.93731609968097,2.55103597010682,1.99437022456316
"7",2.38988146655098,6.63080084577819,5.87763481364335,2.61859766109892,157,"Jan 26 - Feb 01",6.36090303591731,5.46158252836467,2.97074918297425,2.22644403800542
"8",2.52770334644228,7.3566769603749,6.52913449013492,2.76643613993326,160,"Jan 27 - Feb 02",7.0311703809416,6.01056813791113,3.07934172775959,2.38523042963185
"9",2.77983440382338,7.96785164713501,7.09305353986173,2.76013930161998,157,"Jan 28 - Feb 03",7.61398099846252,6.58428519642043,3.0756648920901,2.38940438134966
"10",3.09195480961832,8.6492525169054,7.73413907092395,2.73586526271032,153,"Jan 29 - Feb 04",8.26598444550139,7.18744609049975,2.99851799690832,2.42669373812398
"11",3.12294082454997,9.07080249683239,8.11485588671818,2.84497555050323,135,"Jan 30 - Feb 05",8.75839034026401,7.48088495916197,3.15232437784602,2.48858140908805
"12",3.19072993841658,9.67029932730905,8.66002347092804,2.97815410853558,126,"Jan 31 - Feb 06",9.35327412116265,8.00573468572004,3.27732714128102,2.60341581416281
"13",3.27805109908771,10.2496044433593,9.1909821874276,3.08504040133973,112,"Feb 01 - Feb 07",9.94717728511853,8.40996665985642,3.43798795763565,2.62529640774654
"14",3.72273096057415,10.8582815308713,9.8023993437021,2.93433679695399,93,"Feb 02 - Feb 08",10.5982954702846,8.94333993533845,3.38501361356598,2.34537190208848
"15",4.04954058896841,11.3191524351146,10.2669049678167,2.84842946161499,78,"Feb 03 - Feb 09",11.1114068397839,9.413494923993,3.30662297184559,2.29270300171246
"16",4.42251038442113,11.7367039698697,10.6998130152436,2.74066911788345,70,"Feb 04 - Feb 10",11.6173085437345,9.69749845401951,3.17929806388699,2.15140298397458
"17",4.06262765534279,12.1906781253373,11.0594494905992,3.05936610340759,66,"Feb 05 - Feb 29",12.1061485782454,10.1117662919087,3.59670953906724,2.23331088056972
