"","alpha","beta","mu","sigma","samplesize","timewindow","muUB","muLB","sigmaUB","sigmaLB"
"1",2.54241758817582,4.25278058401278,3.77497079751635,1.59119015064219,25,"Jan 01 - Jan 20",4.53322361847864,3.09170343010938,2.0461465653613,0.95522229296342
"2",2.54018156484995,4.39450605596468,3.90068115020558,1.64547392519525,21,"Jan 15 - Jan 21",4.67465170481828,3.05915290926585,2.19141541375673,0.992241601321171
"3",2.38046576101249,4.23458682910905,3.7533373306923,1.6781051457521,24,"Jan 16 - Jan 22",4.54081276433978,3.02259341135591,2.17903926133124,1.01987943592892
"4",2.72919840626033,4.36761162464477,3.8854946772513,1.53706741626419,32,"Jan 17 - Jan 23",4.52094224695554,3.23633639650552,1.93343235158096,1.00538658598238
"5",2.32247906804429,4.8218196445642,4.27223140983219,1.9527647777375,36,"Jan 18 - Jan 24",5.02308380927887,3.60842499275136,2.4124210756345,1.38488947657922
"6",2.01829180314032,5.24308645820089,4.64584077453456,2.40867476518878,41,"Jan 19 - Jan 25",5.46953289643161,3.88543728329871,3.18251674483473,1.615805637395
"7",2.27771245443999,5.61022593256584,4.96966999910947,2.31151720129208,44,"Jan 20 - Jan 26",5.74715299232651,4.31582825476505,2.93327999448795,1.57249715010387
"8",2.36381113900432,5.73202690812843,5.08000340354794,2.28558048672635,47,"Jan 21 - Jan 27",5.84815414038819,4.46917866447694,2.88384566824797,1.56466018137031
"9",2.45530567168532,5.88472448278111,5.21911145779827,2.26965617298342,51,"Jan 22 - Jan 28",5.91705653809743,4.59381526970692,2.76775720229313,1.61596651504879
"10",2.42935395033116,6.74288300683487,5.97885899104274,2.62490562838394,61,"Jan 23 - Jan 29",6.70198237156023,5.3130604020327,3.1582977684465,1.90215497052862
"11",2.46382286171568,6.94579621078636,6.16064093955404,2.67080959204526,59,"Jan 24 - Jan 30",6.8780106799289,5.47868237629972,3.22686799477869,1.97204772800134
"12",2.41465619543642,6.96560775169569,6.17560048688665,2.72605406802093,52,"Jan 25 - Jan 31",6.9892789463607,5.44042516726703,3.3039640936234,1.97483235988446
"13",2.50508552510406,7.46799972574223,6.62641848007698,2.83033830252793,50,"Jan 26 - Feb 01",7.46911189578079,5.85565228352557,3.368977905871,2.13883619685044
"14",2.51677055981769,8.31761241408352,7.38115101364355,3.1395998940616,46,"Jan 27 - Feb 02",8.35564670184785,6.35416406212086,3.64509428433214,2.44211462622984
"15",2.55152866214003,9.07344191035365,8.05479988508047,3.38432868986217,43,"Jan 28 - Feb 03",9.10249664155528,7.00637788237423,3.9956700995586,2.72537351428971
"16",2.91934046619925,9.64116120252041,8.59929507560805,3.20266712874927,37,"Jan 29 - Feb 04",9.66601419611965,7.43733942048581,3.76907254722778,2.45112321912406
"17",2.65528887718748,10.8070136677062,9.60516612045501,3.89427019541254,34,"Jan 30 - Feb 29",11.1268948108246,8.14389900245716,4.73074166697319,2.70225728888797
