"","alpha","beta","mu","sigma","samplesize","timewindow","muUB","muLB","sigmaUB","sigmaLB"
"1",4.37752399289979,1.14381603097128,3.82712243435038,1.82918692551312,27,"Jan 01 - Jan 26",4.56345939708363,3.13739267631435,2.50922605744731,0.982032452041793
"2",2.36105394870716,0.447528861393004,5.27575795080121,3.43345932503002,28,"Jan 21 - Jan 27",6.81693953148414,3.98107704304338,5.14003360604917,1.88826766960105
"3",2.5950929443734,0.451332259865944,5.74985033231217,3.56927558902605,34,"Jan 22 - Jan 28",7.15408101091549,4.47504483402853,4.86490556923622,2.22239367064281
"4",3.58588656201696,0.571431373527014,6.27527071165867,3.31386027087632,40,"Jan 23 - Jan 29",7.31947384546742,5.19554863927988,4.25839969450549,2.23502618011537
"5",3.79280064480585,0.606703505501686,6.25148958331725,3.20998870156927,46,"Jan 24 - Jan 30",7.34390731444211,5.23995264354207,4.24353400929876,2.26789074683342
"6",4.13883408858461,0.606997075752467,6.81854040804708,3.35160176042283,43,"Jan 25 - Jan 31",7.99359827141227,5.7922224821219,4.31624574030614,2.36072412053444
"7",4.55500704562356,0.664039202324766,6.8595453847856,3.21403652100921,50,"Jan 26 - Feb 01",7.81723591491346,5.96614981432446,4.0365758934322,2.33793960655412
"8",5.28703710278272,0.760527312728562,6.9518043787465,3.02337044733384,52,"Jan 27 - Feb 02",7.92129885964565,6.11252169796961,3.87039229740238,2.25206636926975
"9",5.53783996954364,0.808828267570991,6.84674385351843,2.90946997564546,48,"Jan 28 - Feb 03",7.78323411444401,5.99003011238802,3.55487256777445,2.20908188882933
"10",3.94665803211192,0.578439774452893,6.82293681454529,3.43444527502659,50,"Jan 29 - Feb 04",7.81217547936475,5.86012621135965,4.20014418401474,2.65392743406416
"11",3.60721542950032,0.540031842432976,6.67963469200061,3.51695386770292,45,"Jan 30 - Feb 05",7.76909700862605,5.68662387710664,4.35354886313893,2.69154770841812
"12",3.06144782428294,0.455271214329003,6.7244484780243,3.84320224400731,47,"Jan 31 - Feb 06",7.89856297960779,5.61691471098928,4.68850885373424,2.98288372028619
"13",3.07611518318376,0.474871494579878,6.47778444967563,3.69339022949904,45,"Feb 01 - Feb 07",7.72938853398282,5.43084634382759,4.48570421399133,2.78161146297054
"14",2.58883538616946,0.399981486188569,6.4723880368527,4.02265074986256,36,"Feb 02 - Feb 08",7.95826987615202,5.09753464764124,4.99618240174249,2.88429721590791
"15",2.54384406471223,0.36329741234964,7.00209794575697,4.39018618148191,33,"Feb 03 - Feb 09",8.65124269217316,5.47421208358818,5.41434470438344,3.15908221423223
"16",2.79919406605753,0.436407831297245,6.41417010720631,3.83375158950995,34,"Feb 04 - Feb 10",7.78984258748504,4.99485969986374,4.73215946349667,2.72932299260762
"17",3.3699562918469,0.513140273541695,6.56731982580018,3.57747026497376,34,"Feb 05 - Feb 29",7.90869271242317,5.23306031390803,4.53343085764956,2.32856010403167
