,mu,sd,samplesize,negsumllk,timewindow,muLB.boot,muUB.boot,sdLB.boot,sdUB.boot,AIC
1,7.266792572,3.599917986,116,322.1395985,Jan 01 - Jan 20,6.428131278,8.04031508,2.771618315,4.369258211,648.28
2,6.453179355,2.862125935,110,289.6302847,Jan 15 - Jan 21,5.727104962,7.151429112,2.300910789,3.400508484,583.26
3,5.980040037,2.609081846,146,373.7616035,Jan 16 - Jan 22,5.421452382,6.568053993,2.137019462,3.051440573,751.52
4,5.634184371,2.64069537,191,489.2203746,Jan 17 - Jan 23,5.101528549,6.216130862,2.161864789,3.162097556,982.44
5,5.549253061,2.417978461,218,557.4943117,Jan 18 - Jan 24,5.033156639,6.033347204,1.946614269,2.872810119,1118.99
6,5.521728898,2.31683671,248,638.7796966,Jan 19 - Jan 25,5.062816022,5.998993922,1.87069643,2.841487324,1281.56
7,5.383421622,2.229279601,257,650.6096527,Jan 20 - Jan 26,4.958664999,5.850261398,1.687566258,2.779571805,1305.22
8,5.024333502,1.979299544,275,681.2633284,Jan 21 - Jan 27,4.632875414,5.444806783,1.491817498,2.50503771,1366.53
9,4.758282314,1.799727595,291,711.0132226,Jan 22 - Jan 28,4.387570432,5.151606492,1.375182473,2.251197459,1426.03
10,4.626167847,2.227728678,295,737.2213461,Jan 23 - Jan 29,4.19299698,5.06344316,1.678749451,2.757297595,1478.44
11,4.519293068,2.150718929,270,666.1768272,Jan 24 - Jan 30,4.126248903,4.935429177,1.688143394,2.602377274,1336.35
12,4.51115295,2.493744247,265,663.2699952,Jan 25 - Jan 31,4.002119509,5.026324119,1.85213235,3.070792108,1330.54
13,4.298313536,2.415003572,231,576.8637859,Jan 26 - Feb 01,3.773257465,4.855004018,1.853844919,2.978238006,1157.73
14,4.374339959,2.564795205,218,550.9146554,Jan 27 - Feb 02,3.780286647,4.964732506,1.942515643,3.164094487,1105.83
15,4.486422058,2.698751297,188,483.3657126,Jan 28 - Feb 03,3.867076027,5.150471446,2.008250513,3.294027314,970.73
16,4.7642729,2.96744717,166,431.2318688,Jan 29 - Feb 04,4.049809396,5.44404156,2.300891873,3.61106366,866.46
17,5.373731152,3.28200262,163,441.1664121,Jan 30 - Feb 29,4.578535288,6.144808871,2.546268099,3.938431976,886.33
