"","empSI","timewindow"
"1",8,"Jan 01 - Jan 20"
"2",8,"Jan 01 - Jan 20"
"3",8,"Jan 01 - Jan 20"
"4",6,"Jan 01 - Jan 20"
"5",5,"Jan 01 - Jan 20"
"6",6,"Jan 01 - Jan 20"
"7",11,"Jan 01 - Jan 20"
"8",14,"Jan 01 - Jan 20"
"9",5,"Jan 01 - Jan 20"
"10",7,"Jan 01 - Jan 20"
"11",17,"Jan 01 - Jan 20"
"12",15,"Jan 01 - Jan 20"
"13",6,"Jan 01 - Jan 20"
"14",5,"Jan 01 - Jan 20"
"15",12,"Jan 01 - Jan 20"
"16",3,"Jan 01 - Jan 20"
"17",16,"Jan 01 - Jan 20"
"18",13,"Jan 01 - Jan 20"
"19",8,"Jan 01 - Jan 20"
"20",10,"Jan 01 - Jan 20"
"21",6,"Jan 01 - Jan 20"
"22",4,"Jan 01 - Jan 20"
"23",1,"Jan 01 - Jan 20"
"24",3,"Jan 01 - Jan 20"
"25",8,"Jan 01 - Jan 20"
"26",21,"Jan 01 - Jan 20"
"27",6,"Jan 01 - Jan 20"
"28",10,"Jan 01 - Jan 20"
"29",4,"Jan 01 - Jan 20"
"30",2,"Jan 01 - Jan 20"
"31",17,"Jan 01 - Jan 20"
"32",7,"Jan 01 - Jan 20"
"33",16,"Jan 01 - Jan 20"
"34",11,"Jan 01 - Jan 20"
"35",21,"Jan 01 - Jan 20"
"36",0,"Jan 01 - Jan 20"
"37",5,"Jan 01 - Jan 20"
"38",10,"Jan 01 - Jan 20"
"39",9,"Jan 01 - Jan 20"
"40",3,"Jan 01 - Jan 20"
"41",2,"Jan 01 - Jan 20"
"42",5,"Jan 01 - Jan 20"
"43",11,"Jan 01 - Jan 20"
"44",10,"Jan 01 - Jan 20"
"45",21,"Jan 01 - Jan 20"
"46",24,"Jan 01 - Jan 20"
"47",8,"Jan 01 - Jan 20"
"48",17,"Jan 01 - Jan 20"
"49",5,"Jan 01 - Jan 20"
"50",14,"Jan 01 - Jan 20"
"51",14,"Jan 01 - Jan 20"
"52",16,"Jan 01 - Jan 20"
"53",19,"Jan 01 - Jan 20"
"54",13,"Jan 01 - Jan 20"
"55",10,"Jan 01 - Jan 20"
"56",16,"Jan 01 - Jan 20"
"57",17,"Jan 01 - Jan 20"
"58",0,"Jan 01 - Jan 20"
"59",3,"Jan 01 - Jan 20"
"60",7,"Jan 01 - Jan 20"
"61",11,"Jan 01 - Jan 20"
"62",9,"Jan 01 - Jan 20"
"63",8,"Jan 01 - Jan 20"
"64",10,"Jan 01 - Jan 20"
"65",11,"Jan 01 - Jan 20"
