,GTsetting,empmean,empsd,empsamplesize.ave,timewindow,expo14.muCIrecover,expo14.estmu,expo14.biasmu,expo14.widthmu,expo14.sdCIrecover,expo14.estsd,expo14.biassd,expo14.widthsd,expo7.muCIrecover,expo7.estmu,expo7.biasmu,expo7.widthmu,expo7.sdCIrecover,expo7.estsd,expo7.biassd,expo7.widthsd,expo1.muCIrecover,expo1.estmu,expo1.biasmu,expo1.widthmu,expo1.sdCIrecover,expo1.estsd,expo1.biassd,expo1.widthsd
1,longGT,9.70340814,5.586545038,66.37,D1 - D15,39,9.695429705,-0.00082223,3.40275348,42,6.309379331,0.12938843,3.444937174,46,9.828349975,0.012876077,3.12685024,50,5.918092775,0.059347546,3.041258013,45,9.607227882,-0.009912008,2.835638017,48,5.642952622,0.010097043,2.57203072
2,longGT,9.485552462,5.447036033,76.499,D10 - D19,29,9.007047498,-0.050445661,3.078285474,35,5.99176992,0.10000556,3.17116981,47,9.534497739,0.005159982,2.851502871,47,5.703874697,0.047152004,2.795465505,49,9.47319939,-0.001302304,2.587689814,47,5.476329447,0.005377863,2.335422397
3,longGT,9.044827808,5.248666539,163.291,D20 - D29,41,8.909007319,-0.015016371,2.112688625,36,5.945174498,0.132701888,2.146591041,47,8.978124248,-0.007374774,1.86876748,48,5.451647547,0.038672872,1.828648207,46,8.970299783,-0.00823985,1.697643754,47,5.277158259,0.005428373,1.538642346
4,longGT,8.618808155,5.060623912,239.429,D30 - D39,43,8.392079209,-0.026306299,1.667870276,19,5.921995655,0.170210582,1.711324858,46,8.52134553,-0.011308133,1.43510823,49,5.232444383,0.033952428,1.408260784,44,8.577857956,-0.00475126,1.277009372,49,5.007089204,-0.010578677,1.151966492
5,longGT,8.442071454,5.122718631,209.115,D40 - D49,42,8.192629722,-0.029547456,1.844902372,22,6.083643559,0.187581048,1.917584831,45,8.353805915,-0.010455436,1.589015071,45,5.37496624,0.049240965,1.575867914,45,8.506045927,0.007578054,1.390454084,44,5.053776207,-0.013458171,1.262401875
6,longGT,8.684056268,5.332997802,108.514,D50 - D59,44,8.304026974,-0.043761726,2.756598144,31,6.495267526,0.217939284,2.971785697,47,8.431434707,-0.029090272,2.354345114,45,5.626231406,0.05498476,2.377261656,48,8.703277678,0.002213414,2.069561475,46,5.317554843,-0.002895737,1.903649534
7,longGT,9.280287357,5.651942978,57.487,D60 - D100,43,8.9377637,-0.036908734,4.198356646,40,6.811989516,0.205247389,4.578556379,46,8.980412145,-0.032313139,3.558277964,48,5.824812043,0.030585777,3.605753011,49,9.246398791,-0.003651672,3.158098179,48,5.554144664,-0.017303485,2.900852569
8,mediumGT,6.876131445,3.769787178,44.785,D1 - D10,30,7.028606383,0.022174523,3.052637451,38,4.54036436,0.20440867,3.110664269,42,7.151589404,0.040060019,2.810274436,44,4.211624355,0.117204807,2.752311582,49,6.977385704,0.014725469,2.347957322,49,3.812087146,0.011220784,2.092515274
9,mediumGT,6.836402425,3.745792782,45.237,D5 - D11,36,7.034640758,0.028997464,3.214612945,42,4.659488824,0.243925945,3.303469218,45,7.233417771,0.058073724,2.894705755,40,4.243332031,0.132826154,2.863373065,44,7.007599259,0.025041948,2.370024519,46,3.788187056,0.011317838,2.109262534
10,mediumGT,6.560963236,3.622901469,106.415,D12 - D18,30,6.843199889,0.043017564,2.032292954,26,4.35966985,0.203364179,2.048767226,45,6.718312902,0.023982708,1.760855802,47,3.883454577,0.071918353,1.723506191,48,6.602553357,0.006339027,1.488189231,48,3.676928142,0.014912543,1.332166603
11,mediumGT,6.27517689,3.481059115,194.115,D19 - D25,36,6.185653236,-0.014266316,1.466879104,19,4.286654685,0.231422548,1.488864138,46,6.218888138,-0.008970066,1.247397367,43,3.800605323,0.091795685,1.228489209,44,6.209452428,-0.010473723,1.016777888,47,3.489751232,0.002496975,0.912550966
12,mediumGT,6.054944261,3.426241014,233.766,D26 - D32,34,5.775642327,-0.046127912,1.274368788,15,4.17784663,0.21936741,1.310452938,42,5.861478026,-0.031951778,1.072520944,45,3.65012051,0.0653426,1.058956644,46,5.974582678,-0.01327206,0.873521002,46,3.390698659,-0.010373571,0.786281964
13,mediumGT,6.025908128,3.492688025,171.476,D33 - D39,30,5.548201342,-0.079275484,1.52981201,19,4.312443032,0.234706049,1.613001961,44,5.729407883,-0.049204243,1.293451362,49,3.709717807,0.062138325,1.28124788,48,6.005182239,-0.003439463,1.047932549,47,3.441894633,-0.014542779,0.94541129
14,mediumGT,6.315381019,3.69413527,119.849,D40 - D60,30,5.628829848,-0.108710966,1.997029388,25,4.618580583,0.250246741,2.168713385,40,5.907915275,-0.064519582,1.657939067,48,3.870100985,0.047633804,1.66023679,43,6.26764983,-0.007557927,1.347582962,43,3.611425296,-0.022389536,1.220034476
15,shortGT,3.910407825,1.907636282,84.892,D1 - D10,27,4.020758021,0.028219613,1.529514593,30,2.536304846,0.329553684,1.547913738,37,4.247804505,0.086281711,1.309019737,33,2.273875609,0.191985931,1.281514253,48,3.892036229,-0.004698128,0.894036006,50,1.943155145,0.018619306,0.785508332
